"Endpoint","Method","Role","Status Code","Expected","Actual","Pass/Fail","Notes"
"/api/auth/login","POST","Unauthenticated","UNTESTED","200 + token","Login blocked by automation failure","BLOCKED","React inputs lack automation attributes; JS injection failed in browser agent"
"/api/auth/login","GET","Unauthenticated","404","405 Method Not Allowed","404 Not Found","FAIL","Wrong status code for wrong-method request. Fastify not returning 405."
"/api/login","POST","Unauthenticated","UNTESTED","404 (wrong path)","Not tested","BLOCKED","Could not execute fetch() from console"
"/api/auth/signin","POST","Unauthenticated","UNTESTED","404 (wrong path)","Not tested","BLOCKED","Could not execute fetch() from console"
"/api/users/login","POST","Unauthenticated","UNTESTED","404 (wrong path)","Not tested","BLOCKED","Could not execute fetch() from console"
"/api/health","GET","Unauthenticated","404","200 {""status"":""ok""}","404 Not Found","FAIL","No health check endpoint — ops/monitoring gap"
"/api/users","GET","Unauthenticated","404","401 Unauthorized","404 Not Found","INFO","Route may not exist at this path or may require auth (ambiguous)"
"/api/admin/users","GET","Unauthenticated","UNTESTED","401 Unauthorized","Not tested","BLOCKED","Critical: should reject unauthenticated requests"
"/api/admin/jobs","GET","Unauthenticated","UNTESTED","401 Unauthorized","Not tested","BLOCKED","Critical: should reject unauthenticated requests"
"/api/admin/applications","GET","Unauthenticated","UNTESTED","401 Unauthorized","Not tested","BLOCKED","Critical: should reject unauthenticated requests"
"/api/jobs","GET","Unauthenticated","UNTESTED","200 (public) or 401","Not tested","BLOCKED","Job listings may be public — needs verification"
"/api/applications","GET","Unauthenticated","UNTESTED","401 Unauthorized","Not tested","BLOCKED","Should require auth"
"/api/profile","GET","Unauthenticated","UNTESTED","401 Unauthorized","Not tested","BLOCKED","Should require auth"
"/api/me","GET","Unauthenticated","UNTESTED","401 Unauthorized","Not tested","BLOCKED","Common auth-check endpoint"
"/api/admin/users","GET","Admin (authenticated)","UNTESTED","200 + user list","Not tested — login failed","BLOCKED","CRITICAL: cannot verify admin-only enforcement"
"/api/admin/users","GET","Student (authenticated)","UNTESTED","403 Forbidden","Not tested — login failed","BLOCKED","CRITICAL: cannot verify role-based API protection"
"/api/admin/users","GET","Public User (authenticated)","UNTESTED","403 Forbidden","Not tested — login failed","BLOCKED","CRITICAL: cannot verify role-based API protection"
"/api/jobs","POST","Admin (authenticated)","UNTESTED","201 Created","Not tested — login failed","BLOCKED","Job creation endpoint"
"/api/jobs","POST","Student (authenticated)","UNTESTED","403 Forbidden","Not tested — login failed","BLOCKED","Students should not create jobs"
"/.env","GET","Unauthenticated","403","404 (preferred)","403 Forbidden","PARTIAL PASS","File blocked but 403 confirms existence; 404 preferred"
"/api-docs","GET","Unauthenticated","404","404","404 Not Found","PASS","API docs not publicly exposed — good"
"/swagger","GET","Unauthenticated","404","404","404 Not Found","PASS","Swagger UI not publicly exposed — good"
