"#","Issue ID","Blocker","Why It Blocks Release","Owner","Estimated Fix Time","Status"
"1","BEZ-001","Login form inputs have no id, name, or data-testid attributes","Prevents execution of 80%+ of the QA test suite. Also an accessibility violation — screen reader users cannot log in. Cannot release a portal where the primary authentication flow has never been end-to-end tested.","Frontend","2 hours","🔴 OPEN — BLOCKING"
"2","BEZ-009","JWT implementation entirely unverified — algorithm, storage location, expiry, and role claims unknown","If JWT uses alg:none, any user can forge admin tokens. If stored in localStorage (React SPA default), XSS can steal all sessions. If no expiry, stolen tokens are valid forever. Cannot release an auth system with unknown security properties.","Backend + Security","4 hours manual testing; 1 day fix if issues found","🔴 OPEN — BLOCKING"
"3","BEZ-010","XSS input validation completely untested","Portal handles student PII (names, emails, resumes, placement data). Unvalidated inputs in a data-handling portal is a critical pre-launch risk. A single stored XSS payload could compromise all student sessions.","Backend + Frontend","4 hours manual testing; 1 day fix if issues found","🔴 OPEN — BLOCKING"
"4","BEZ-011","SQL/NoSQL injection completely untested","While Prisma parameterizes by default, any raw query() calls with user input would expose the entire PostgreSQL database. Student academic and placement records at risk. Must be verified before handling real data.","Backend + Security","2 hours manual testing + SQLMap scan","🔴 OPEN — BLOCKING"
"5","BEZ-012","Session invalidation on logout unverified","Campus portals are accessed on shared computers (labs, library). If tokens persist after logout, the next user on the same machine inherits the previous session. This is a critical data breach vector in a campus environment.","Backend","2 hours manual testing; 1 day fix if broken","🔴 OPEN — BLOCKING"
"6","BEZ-008","Security headers missing — CSP, HSTS, X-Frame-Options, X-Content-Type-Options, Referrer-Policy not confirmed present","Without CSP, XSS attacks can execute arbitrary scripts and exfiltrate data. Without HSTS, downgrade attacks are possible. Without X-Frame-Options, clickjacking attacks can trick students into submitting forms. These are baseline web security requirements.","DevOps","2 hours (Nginx config change)","🔴 OPEN — BLOCKING"
"7","BEZ-002","/admin/dashboard returns 404 instead of redirecting unauthenticated users to /login","Inconsistent route protection means the RBAC system is not uniformly applied. If /admin/dashboard is unprotected, other admin sub-routes may also be unprotected. Cannot verify admin security without consistent auth guards.","Frontend","1 hour","🔴 OPEN — BLOCKING"
"8","BEZ-022","Monolithic JS bundle with no confirmed code splitting — estimated LCP 2.8–4.2s","LCP fails Google's ""Good"" threshold (<2.5s). On campus Wi-Fi or mobile networks, students will see a blank white screen for 3–5 seconds before any content renders. This is a functional usability failure, not just a performance metric.","Frontend","1 day","🔴 OPEN — BLOCKING"
"9","BEZ-023","No PgBouncer connection pooler — PostgreSQL will exhaust connections under concurrent load","A single mass email to MCTRGIT students announcing placements will generate a concurrent login spike. Without PgBouncer, PostgreSQL's default max_connections (100) will be exhausted, causing cascading failures for all users. The portal will crash on its most important day.","DevOps + Backend","4 hours","🔴 OPEN — BLOCKING"
"10","N/A","Zero authenticated user journeys have been verified end-to-end (Admin, Student, Public roles all 0% tested post-login)","The core purpose of this portal — students viewing jobs, applying, admins managing placements — has never been tested. Releasing a portal where no primary user flow has been verified is not a calculated risk; it is a guarantee of user-facing failures on day one.","QA + Frontend (depends on BEZ-001 fix)","3–5 days after BEZ-001 is fixed","🔴 OPEN — BLOCKING"
