"Finding ID","Title","Severity","Evidence","Reproduction Steps","Fix Recommendation"
"SEC-001","Inconsistent Auth-Gated Route Behavior","HIGH","/admin redirects to /login (correct); /admin/dashboard returns 404 without redirect (incorrect). Confirmed by Phase 1 audit.","Navigate to /admin/dashboard without auth — no redirect occurs, returns 404","Ensure ALL protected routes redirect to /login when unauthenticated. Audit React Router guards for every route under /admin/*"
"SEC-002","API Error Messages Leak Framework & Route Structure","MEDIUM","GET /api/auth/login returns: {""message"":""Route GET:/api/auth/login not found"",""error"":""Not Found"",""statusCode"":404} — reveals exact route pattern and Fastify error schema","Fetch any non-existent API route: fetch('/api/anything')","Replace verbose Fastify error responses with generic {""error"":""Not Found""} in production. Set Fastify's exposeHeadRoutes and custom error handler."
"SEC-003","Wrong HTTP Method Returns 404 Instead of 405","MEDIUM","GET /api/auth/login (which is a POST-only endpoint) returns 404 Not Found instead of 405 Method Not Allowed","Send GET request to /api/auth/login","Fastify should return 405 with Allow: POST header for wrong-method requests. Enables method enumeration by attackers."
"SEC-004","Domain Mismatch — robots.txt vs Backend","MEDIUM","robots.txt references berozgar.in; backend API references rkgit.ezexam.in; frontend served from rgitrozgar.in. Three different domain identities.","Check robots.txt at rgitrozgar.in/robots.txt; inspect network requests","Standardize all domain references. Update robots.txt. Audit CORS allowed origins for rkgit.ezexam.in exposure."
"SEC-005","Auth Protocol Display on Login UI (Information Disclosure)","LOW","Login page publicly displays: AUTH_PROTOCOL: HMAC_HMAC_SHA256 — reveals authentication mechanism to attackers","Navigate to /login, read page footer","Remove auth protocol display from public-facing UI. Security through obscurity is not sufficient but unnecessary disclosure aids attackers."
"SEC-006","Security Headers — Status Unverified (Assumed Missing)","HIGH","Web block extraction did not return security headers. Browser agent JS console execution blocked. Headers not confirmed present. Based on nginx default config, CSP/HSTS/X-Frame-Options are NOT set by default.","curl -I https://rgitrozgar.in and inspect response headers","Add to nginx config: Strict-Transport-Security, Content-Security-Policy, X-Frame-Options: DENY, X-Content-Type-Options: nosniff, Referrer-Policy: strict-origin-when-cross-origin, Permissions-Policy"
"SEC-007","Login Form Inputs Have No Accessibility/Test Attributes","LOW-MEDIUM","React inputs on /login have no id, name, or data-testid attributes. Confirmed by previous audit agent and browser agent observation.","Inspect DOM on /login page","Add name=""email"", name=""password"", id attributes to inputs. Enables both accessibility (screen readers) and automated security testing."
"SEC-008","JWT Implementation Unverified — Algorithm Confusion Risk Unknown","HIGH","Login not achieved; JWT payload, algorithm (alg claim), expiry, and role claims could not be inspected. HMAC_SHA256 displayed on UI but actual JWT alg header unconfirmed.","Achieve login, capture token from localStorage, decode with: JSON.parse(atob(token.split('.')[1]))","Verify: alg is HS256 or RS256 (not 'none'); exp is set (recommend ≤24h); role claim present; token stored in httpOnly cookie (not localStorage) to prevent XSS theft."
"SEC-009","Email Enumeration — Status Unverified","HIGH","Could not test: correct email + wrong password vs nonexistent email error message comparison blocked by login failure","Attempt login with known email + wrong password; compare error to unknown email + wrong password","Ensure both cases return identical error: ""Invalid credentials"". Never reveal whether email exists."
"SEC-010","XSS Input Validation — Untested","HIGH","Could not inject <script>alert(1)</script> or ""><img src=x onerror=alert(1)> into login fields due to automation failure","Manually enter XSS payloads in email/password/search fields","Ensure React renders all user input as text (not innerHTML). Validate server-side. Implement CSP header as defense-in-depth."
"SEC-011","SQL/NoSQL Injection — Untested","HIGH","Could not test ' OR '1'='1 or ; DROP TABLE users;-- in login fields","Manually enter SQL injection payloads in login form","Prisma ORM provides parameterized queries by default — verify no raw query() calls with user input. Test with SQLMap if manual testing confirms risk."
"SEC-012","Session Invalidation on Logout — Unverified","HIGH","Could not test whether JWT is cleared from localStorage on logout, or whether old tokens remain valid after logout","Login → capture token → logout → check localStorage → replay token to /api/me","Implement server-side token blacklist or short expiry + refresh token rotation. Clear localStorage on logout. Verify token rejected after logout."
"SEC-013","IDOR on Profile/Application IDs — Unverified","HIGH","Could not access /profile/[id] or /applications/[id] endpoints without auth","Login as student → note profile URL → increment/decrement ID → check if other profiles accessible","Implement ownership checks on all object-level endpoints. Never rely solely on auth — verify resource belongs to requesting user."
"SEC-014","Version String Exposed in UI","INFO","Login page displays: v0.1.0 // Campus OS","Navigate to /","Remove version string from public UI. Reveals pre-production maturity to attackers."
"SEC-015",".env File Returns 403 (Not 404)","INFO","/.env returns 403 Forbidden — confirms file exists but is blocked","Navigate to https://rgitrozgar.in/.env","Change nginx config to return 404 for .env (403 confirms file presence; 404 is more secure). Current behavior is acceptable but 404 is preferred."
